assay;sd threshold;severe sepsis outcome average;nonsevere sepsis outcome average;IAF_normals;IAF_lowerbound;IAF upperbound;abs_difference_sepsissevere_IAF ;lower for baseline 0;upper for baseline 0;difference_sepsissevere_IAF ;difference_sepsisnonsevere_IAF 
IL.12B;0.176649875;6.582113936;6.585903831;1.643864;1.063343518;3.209595258;4.938249936;-0.508024591;0.570645653;4.938249936;4.942039831
IL.15RA;0.685645371;2.346639894;6.686153799;8.371690056;7.707872527;8.863815452;6.025050162;-0.410954678;0.346262385;-6.025050162;-1.685536257
IL.17A;0.173811377;4.496021277;1.182608571;1.1593735;0.888289587;1.754214758;3.336647777;-0.559044679;0.622719784;3.336647777;0.023235071
IL.17C;0.308951039;3.271489574;2.187791591;1.190783611;0.913963635;2.03706139;2.080705963;-0.200754199;0.156725928;2.080705963;0.99700798
IL.18R1;0.319170717;9.780456277;3.928656299;1.802584333;1.402141242;2.479907167;7.977871943;-0.463491969;0.629447998;7.977871943;2.126071966
IL.20;0.515760178;1.303214149;3.095883117;0.8256725;0.670016145;1.023998728;0.477541649;-0.92121398;0.9105398;0.477541649;2.270210617
IL.20RA;0.294920661;1.719431277;9.364351981;0.446170111;-0.034160062;0.873512897;1.273261165;-0.365123152;1.411239927;1.273261165;8.91818187
IL.22.RA1;0.313536301;2.300541809;9.584065455;1.444168722;1.137797932;1.706050957;0.856373086;-0.248044741;0.355421991;0.856373086;8.139896733
IL.24;0.411328965;3.089414681;1.019853539;0.703420056;0.502665857;0.860145983;2.385994625;-0.837513967;0.98982228;2.385994625;0.316433483
IL.2RB;0.254745559;1.641365426;1.311303442;1.184123111;0.78061706;2.45822042;0.457242314;-1.136493018;1.128846469;0.457242314;0.127180331
IL10;0.203635664;8.520403617;1.67200526;1.603648944;1.218010603;2.493849722;6.916754673;-0.559965631;0.421573064;6.916754673;0.068356316
IL13;0.241740877;1.071615;2.258385292;1.840021611;1.436459768;2.418957905;0.768406611;-0.733973044;0.808435261;-0.768406611;0.418363681
IL18;0.198780568;9.372889255;2.768500779;3.077353556;2.697379228;3.999405552;6.2955357;-0.940559589;0.818597369;6.2955357;-0.308852777
IL2;0.426357499;1.045295851;1.637487597;7.449415444;6.791226137;8.286541757;6.404119593;-0.334385441;0.756856794;-6.404119593;-5.811927847
IL33;0.279998764;1.307907021;1.347302532;0.926311;0.70992827;1.405828202;0.381596021;-0.391368851;0.567818691;0.381596021;0.420991532
IL4;0.449318848;0.842332128;0.733341981;0.448505056;-0.010995232;1.622287262;0.393827072;-0.450317642;0.298089498;0.393827072;0.284836925
IL5;0.295195731;1.173981383;1.283635649;1.348058278;0.663805523;4.335822793;0.174076895;-0.949241148;1.171949531;-0.174076895;-0.064422629
IL6;0.303289682;10.48959479;9.773594805;2.756035667;2.012382265;4.274403742;7.733559121;-0.444673701;0.306927571;7.733559121;7.017559138
IL7;0.347858471;4.106907766;3.908086201;2.741293333;1.903779367;3.731115613;1.365614433;-0.385638341;0.890200777;1.365614433;1.166792868
IL8;0.186010288;8.474490213;8.450032305;4.726933056;4.226509032;5.499284322;3.747557157;-0.462822504;1.062843154;3.747557157;3.723099249
LAP.TGF.beta.1;0.561119444;8.53157766;8.38321237;6.665403444;6.317279947;7.115336955;1.866174215;-0.658189308;0.837126312;1.866174215;1.717808926
LIF;0.289477974;3.231636702;2.941528864;0.491829722;0.161389058;2.763118442;2.73980698;-1.318750495;1.568273653;2.73980698;2.449699142
LIF.R;0.249929477;4.773461064;4.79000724;3.870629611;3.461406748;4.157140465;0.902831453;-2.236374636;2.588273343;0.902831453;0.919377629
MCP.1;0.179769875;13.64458266;13.57346662;11.14496889;10.79823038;11.71412873;2.499613771;-0.346738512;0.569159844;2.499613771;2.428497733
MCP.2;0.250080259;10.13862521;10.47901448;8.517946111;7.071628637;9.321132485;1.620679102;-0.663817529;0.492125396;1.620679102;1.96106837
MCP.3;0.191282914;3.923424255;3.754517695;1.761836778;1.170889557;2.219252077;2.161587478;-0.459500287;1.173782206;2.161587478;1.992680917
MCP.4;0.331995029;13.8163367;13.92208117;13.43628617;12.39850676;14.51350699;0.380050535;-0.741179751;0.841102741;0.380050535;0.485794999
MMP.1;1.404578704;11.86822106;11.3601662;11.08661667;9.767866172;12.65489032;0.781604397;-0.760520561;0.953114199;0.781604397;0.273549531
MMP.10;0.380411032;9.722554468;9.56443474;8.644252444;7.675384012;9.541139755;1.078302024;-0.719431014;1.216323842;1.078302024;0.920182296
NRTN;0.242100564;1.258413191;1.21588539;0.879182889;0.609420438;1.910723575;0.379230303;-0.433056201;0.755635724;0.379230303;0.336702501
NT.3;0.381495747;2.646904681;2.717799351;2.502335833;2.070516875;2.793616908;0.144568848;-0.330812473;0.48781905;0.144568848;0.215463518
OPG;0.1603107;11.94321649;11.6981637;10.18130856;9.707075052;10.85085862;1.761907934;-0.276819976;0.846277779;1.761907934;1.516855141
OSM;0.30901454;8.816240638;7.797309773;4.549178889;3.712788152;5.74959016;4.267061749;-0.530851259;1.352461569;4.267061749;3.248130884
PD.L1;0.395964878;8.065553936;8.079458831;5.930649389;5.603942227;6.348984217;2.134904547;-0.21638273;0.479517202;2.134904547;2.148809442
